age,education_level,gender,income_level,jeanstype,purchase_frequency,purchase_channel,brand_preference,sustainable_purchase_history,barrier_awareness,barrier_unimportant,barrier_doubt,barrier_new_concept,barrier_style,barrier_habit,barrier_variety,barrier_other_text,importance_durability,importance_organic_materials,importance_recycled_materials,importance_biodegradable,importance_eco_friendly_dyeing,importance_ethical_production
42.0,1,0,2,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
28.0,2,1,3,Bootcut Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,7.0,7.0,7.0,5.0,7.0,6.0
28.0,2,1,3,Bootcut Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Mağazalarda deneme imkanım yok,,,,,,7.0,5.0,6.0,5.0,7.0,7.0
52.0,2,1,4,Bootcut Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,3.0,6.0,4.0,6.0,7.0,7.0
34.0,2,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,5.0,6.0,5.0,5.0,6.0,5.0
36.0,3,0,4,Slim Fit Dar Kesim,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,7.0,7.0,5.0,7.0,7.0,7.0
60.0,2,0,3,Slim Fit Dar Kesim,Yılda bir kereden az,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,,,,,,,,6.0,6.0,6.0,6.0,7.0,7.0
37.0,2,0,1,Regular Fit Normal Kalıp,Yılda bir kereden az,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Hızlı moda markalarının seçenekleri daha fazla,,,,,6.0,7.0,7.0,7.0,7.0,7.0
42.0,3,1,2,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,,,,,,,7.0,7.0,4.0,5.0,7.0,6.0
36.0,3,1,3,Boyfriend Jeans,Yılda bir kez,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,6.0,5.0,5.0,7.0,7.0
44.0,3,1,2,Slim Fit Mom Jeans,Yılda bir kereden az,Mağazalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,6.0,7.0,5.0,6.0,7.0,7.0
37.0,3,1,4,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,6.0,4.0,4.0,4.0,5.0,7.0
33.0,2,0,2,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,7.0,5.0,5.0,7.0,5.0
41.0,3,1,4,Slim Fit Mom Jeans,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,7.0,7.0,7.0,7.0,7.0,7.0
38.0,2,1,3,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,7.0,7.0,7.0,7.0,7.0,7.0
23.0,2,1,1,Slim Fit Mom Jeans,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,5.0,6.0,7.0,7.0,7.0,7.0
38.0,2,1,2,Slim Fit Mom Jeans,Yılda bir kereden az,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Hayır,Çok pahalılar,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
33.0,2,1,1,Slim Fit Mom Jeans,Yılda 2-3 kez,Mağazalardan,Emin değilim,Evet,,,,,,,,,6.0,6.0,6.0,5.0,5.0,7.0
34.0,3,1,6,Boyfriend Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,4.0,6.0,7.0,7.0,7.0
26.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kereden az,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Çok pahalılar,Diğer (Lütfen belirtiniz),,,,Kot pantolon giymiyorum genelde,6.0,6.0,6.0,6.0,6.0,6.0
29.0,3,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Mağazalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
40.0,2,1,5,Boyfriend Jeans,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,,,,,,,,4.0,4.0,4.0,3.0,4.0,4.0
23.0,1,1,2,Boyfriend Jeans,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Hızlı moda markalarının seçenekleri daha fazla,Mağazalarda deneme imkanım yok,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,5.0,4.0,6.0,6.0,6.0,6.0
24.0,1,0,1,Yüksek Bel Regular Fit,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0
36.0,3,0,3,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Çok pahalılar,,,,,,,4.0,1.0,1.0,1.0,1.0,7.0
28.0,1,0,2,Comfort Fit Rahat Kesim,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,,6.0,6.0,6.0,6.0,7.0,7.0
37.0,2,0,4,Regular Fit Normal Kalıp,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,6.0,6.0,4.0,6.0,6.0,6.0
26.0,2,0,4,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,6.0,5.0,5.0,5.0,5.0,5.0
57.0,3,1,4,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,6.0,7.0,5.0,4.0,7.0,7.0
19.0,1,1,1,Bootcut Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Hayır,Çok pahalılar,,,,,,,,5.0,5.0,5.0,5.0,5.0,6.0
31.0,2,1,2,Bootcut Jeans,Yılda bir kez,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,5.0,5.0,4.0,5.0,5.0,7.0
25.0,2,1,1,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,,,,,5.0,5.0,3.0,2.0,4.0,2.0
31.0,2,1,4,Skinny Jeans,Yılda bir kereden az,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilirlik konusunu önemsemiyorum,Çok pahalılar,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
26.0,2,1,1,Slim Fit Mom Jeans,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Evet,,,,,,,,,7.0,6.0,4.0,4.0,4.0,4.0
52.0,2,0,3,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,6.0,6.0,6.0,7.0,7.0
24.0,3,1,4,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,,5.0,2.0,2.0,2.0,2.0,2.0
34.0,3,1,4,Slim Fit Mom Jeans,Yılda 5'ten fazla,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,5.0,5.0,5.0,4.0,6.0,5.0
35.0,3,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
33.0,2,1,4,Bootcut Jeans,Yılda 2-3 kez,Mağazalardan,Sürdürülebilir moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
38.0,2,1,5,Boyfriend Jeans,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Hızlı moda markalarının seçenekleri daha fazla,,,,,,,5.0,7.0,5.0,6.0,7.0,7.0
36.0,3,0,4,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,6.0,6.0,6.0,6.0,6.0,6.0
35.0,3,1,4,Boyfriend Jeans,Yılda bir kez,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,7.0,5.0,5.0,7.0,7.0
47.0,3,1,4,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,6.0,6.0,4.0,6.0,6.0,6.0
37.0,2,1,3,Bootcut Jeans,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Hayır,Çok pahalılar,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
24.0,2,1,1,Slim Fit Mom Jeans,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Çok pahalılar,,,,,,,6.0,6.0,7.0,7.0,7.0,7.0
23.0,2,1,1,Slim Fit Mom Jeans,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,,,,,,,,3.0,3.0,4.0,3.0,3.0,5.0
24.0,3,0,7,Yüksek Bel Regular Fit,Yılda bir kereden az,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,5.0,5.0,5.0,6.0,5.0,6.0
24.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Çok pahalılar,Hızlı moda markalarının seçenekleri daha fazla,,,,,,7.0,7.0,4.0,7.0,7.0,7.0
29.0,2,1,3,Boyfriend Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,7.0,4.0,7.0,7.0,4.0
57.0,3,0,3,Regular Fit Normal Kalıp,Yılda bir kereden az,Mağazalardan,Sürdürülebilir moda markası,Hayır,Diğer (Lütfen belirtiniz),,,,,,,Çok sık alışveriş yapmıyorum. En son alışveriş yaptığımda bu konudan haberdar değildim. Ancak yeni alışveriş yaptığımda sürdürülebilir kot pantolon satın almak isterim.,6.0,5.0,5.0,5.0,6.0,7.0
31.0,2,1,3,Slim Fit Mom Jeans,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilirlik konusunu önemsemiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,,,,,7.0,7.0,2.0,3.0,7.0,4.0
25.0,2,1,1,Bootcut Jeans,Yılda 4-5 kez,Mağazalardan,Hızlı moda markası,Hayır,Çok pahalılar,,,,,,,,5.0,5.0,4.0,2.0,4.0,5.0
26.0,3,0,4,Comfort Fit Rahat Kesim,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,6.0,6.0,6.0,6.0,5.0,6.0
24.0,3,1,2,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,6.0,5.0,6.0,6.0,7.0
31.0,3,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,6.0,5.0,4.0,5.0,6.0,5.0
56.0,2,1,2,Bootcut Jeans,Yılda bir kereden az,Mağazalardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,5.0,7.0,5.0,7.0,7.0
32.0,2,1,4,Slim Fit Mom Jeans,Yılda 5'ten fazla,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Evet,,,,,,,,,6.0,6.0,5.0,1.0,4.0,4.0
31.0,3,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,2.0,2.0,2.0,2.0,2.0,2.0
34.0,3,1,3,Slim Fit Mom Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Çok pahalılar,Hızlı moda markalarının seçenekleri daha fazla,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
37.0,3,1,3,Bootcut Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,6.0,4.0,4.0,6.0,6.0,6.0
38.0,3,0,4,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Sürdürülebilir moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilirlik konusunu önemsemiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,7.0,7.0,7.0,4.0,7.0,7.0
45.0,2,1,4,Skinny Jeans,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,,,7.0,7.0,5.0,6.0,5.0,5.0
36.0,3,1,4,Skinny Jeans,Yılda 4-5 kez,Mağazalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0
30.0,2,1,2,Boyfriend Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,7.0,7.0,3.0,2.0,5.0,7.0
21.0,2,1,2,Slim Fit Mom Jeans,Yılda 5'ten fazla,Mağazalardan,Hızlı moda markası,Hayır,Çok pahalılar,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
26.0,1,0,2,Yüksek Bel Regular Fit,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,4.0,4.0,5.0,3.0,5.0,4.0
50.0,2,0,1,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Mağazalarda deneme imkanım yok,Çok pahalılar,,,,,,7.0,4.0,4.0,4.0,4.0,4.0
31.0,2,1,2,Bootcut Jeans,Yılda bir kereden az,Mağazalardan,Emin değilim,Evet,,,,,,,,,7.0,5.0,7.0,4.0,7.0,7.0
25.0,2,0,4,Yüksek Bel Regular Fit,Yılda 2-3 kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Mağazalarda deneme imkanım yok,,,,,,6.0,6.0,6.0,6.0,6.0,5.0
22.0,1,1,2,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,Hızlı moda markalarının seçenekleri daha fazla,Çok pahalılar,Mağazalarda deneme imkanım yok,,,,,6.0,6.0,4.0,4.0,6.0,7.0
25.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,,,,,,,,7.0,7.0,2.0,2.0,7.0,3.0
22.0,2,0,2,Comfort Fit Rahat Kesim,Yılda 4-5 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,5.0,6.0,5.0,5.0,6.0,6.0
27.0,2,0,5,Regular Fit Normal Kalıp,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,7.0,7.0,3.0,2.0,5.0,5.0
27.0,2,0,2,Yüksek Bel Regular Fit,Yılda 2-3 kez,Mağazalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Hızlı moda markalarının seçenekleri daha fazla,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,Çok pahalılar,Mağazalarda deneme imkanım yok,,7.0,4.0,4.0,2.0,2.0,7.0
20.0,1,1,1,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,6.0,5.0,6.0,6.0,5.0,5.0
56.0,3,1,6,Boyfriend Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Evet,,,,,,,,,4.0,7.0,5.0,6.0,7.0,7.0
24.0,2,1,2,Boyfriend Jeans,Yılda bir kez,Hem mağazalardan hem de online platformlardan,Sürdürülebilir moda markası,Evet,,,,,,,,,7.0,5.0,5.0,5.0,5.0,5.0
37.0,3,1,3,Boyfriend Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",,,,,,,5.0,5.0,5.0,5.0,5.0,6.0
31.0,2,1,2,Slim Fit Mom Jeans,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,Kot pantolonun sürdürülebilir olup olmadığını anlamakta zorlanıyorum,,,,,7.0,3.0,3.0,3.0,3.0,3.0
36.0,2,1,4,Bootcut Jeans,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Evet,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0
34.0,1,0,2,Regular Fit Normal Kalıp,Yılda 2-3 kez,Mağazalardan,Sürdürülebilir moda markası,Evet,,,,,,,,,5.0,3.0,2.0,2.0,5.0,4.0
37.0,3,1,3,Boyfriend Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Hızlı moda markalarının sürdürülebilir/yeşil koleksiyonları,Evet,,,,,,,,,7.0,7.0,7.0,7.0,7.0,7.0
35.0,3,1,2,Boyfriend Jeans,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,Alışveriş ve/veya marka alışkanlıklarımı değiştirmek istemiyorum,Hızlı moda markalarının seçenekleri daha fazla,,,,,6.0,7.0,2.0,2.0,5.0,5.0
31.0,2,1,5,Slim Fit Mom Jeans,Yılda bir kereden az,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,,4.0,7.0,6.0,4.0,4.0,4.0
30.0,2,1,1,Bootcut Jeans,Yılda 2-3 kez,Hem mağazalardan hem de online platformlardan,Emin değilim,Hayır,Nereden alabileceğimi bilmiyorum,Mağazalarda deneme imkanım yok,,,,,,,6.0,6.0,4.0,5.0,5.0,5.0
33.0,3,1,5,Bootcut Jeans,Yılda 2-3 kez,Online alışveriş sitelerinden ve uygulamalardan,Emin değilim,Evet,,,,,,,,,7.0,7.0,3.0,1.0,3.0,3.0
29.0,2,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Online alışveriş sitelerinden ve uygulamalardan,Hızlı moda markası,Hayır,Sürdürülebilirlik konusunu önemsemiyorum,"Önemsesem de, bir kot pantolonun bu sorunları çözeceğine inanmıyorum",Sürdürülebilir kot pantolon diye bir şey ilk defa duyuyorum,,,,,,1.0,5.0,1.0,1.0,1.0,4.0
36.0,3,0,3,Regular Fit Normal Kalıp,Yılda bir kez,Mağazalardan,Hızlı moda markası,Hayır,Çok pahalılar,Hızlı moda markalarının seçenekleri daha fazla,,,,,,,5.0,6.0,3.0,7.0,6.0,6.0
